messageconcern,Primary school or equivalent,Secondary school or equivalent,Special school or equivalent,Sixth form college or equivalent,Technical college or equivalent,Further Education College,Adult Community College,University or equivalent,Other,Don’t want to answer
Only yourself or your family,3.0,164.0,1.0,54.0,86.0,83.0,12.0,429.0,30.0,61.0
"Only other people, but not yourself or your family",,18.0,,10.0,10.0,13.0,2.0,126.0,5.0,7.0
"Yourself or your family, as well as others like you",4.0,185.0,2.0,91.0,111.0,127.0,31.0,795.0,35.0,40.0
All people in the community,8.0,386.0,2.0,131.0,209.0,266.0,64.0,1947.0,83.0,174.0
All people in the nation or all people in the world,2.0,109.0,3.0,45.0,63.0,89.0,11.0,666.0,16.0,48.0
Don’t know,1.0,32.0,,13.0,14.0,15.0,3.0,137.0,10.0,31.0
Don’t want to answer,,14.0,,4.0,5.0,8.0,,40.0,6.0,25.0
