authority_type,No,Yes,Don’t want to answer
Central Government,301,1070,67
Local and regional,593,2308,113
Education,86,506,39
Environment,30,81,5
Health,110,403,31
Media and Culture,18,64,5
Military and Security Services,86,217,18
Emergency services and the courts,46,248,11
Transport,97,307,14
Don’t want to answer,11,21,17
Other,149,400,29
