authority_type,Only yourself or your family,"Only other people, but not yourself or your family","Yourself or your family, as well as others like you",All people in the community,All people in the nation or all people in the world,Don’t know,Don’t want to answer
Central Government,185.0,42.0,331.0,411.0,390.0,45.0,14.0
Local and regional,296.0,56.0,455.0,1873.0,188.0,74.0,27.0
Education,67.0,23.0,184.0,212.0,80.0,38.0,16.0
Environment,11.0,4.0,18.0,54.0,24.0,,2.0
Health,40.0,27.0,97.0,233.0,101.0,31.0,7.0
Media and Culture,5.0,,12.0,31.0,32.0,3.0,1.0
Military and Security Services,112.0,10.0,76.0,50.0,49.0,15.0,3.0
Emergency services and the courts,41.0,3.0,62.0,140.0,46.0,8.0,1.0
Transport,74.0,7.0,78.0,150.0,60.0,32.0,7.0
Don’t want to answer,10.0,1.0,3.0,10.0,5.0,2.0,16.0
Other,103.0,21.0,127.0,181.0,91.0,22.0,14.0
