authority_type,No,Yes,Don’t want to answer,Did not receive a response
Central Government,474,275,49,640
Local and regional,1079,629,104,1202
Education,201,131,34,265
Environment,32,31,3,50
Health,198,108,28,210
Media and Culture,34,11,5,37
Military and Security Services,130,61,12,118
Emergency services and the courts,80,61,16,148
Transport,159,90,22,147
Don’t want to answer,13,8,12,16
Other,223,112,22,221
