messageconcern,"Up to    £12,500 per year","£12,501 to £25,000 per year","£25,001 to £40,000 per year","£40,001 to £50,000 per year","£50,001 to £60,000 per year","£60,001 to £100,000 per year","More than £100,000 per year",Don’t want to answer
Only yourself or your family,87,151,106,49,62,89,27,330
"Only other people, but not yourself or your family",13,30,44,11,18,21,8,41
"Yourself or your family, as well as others like you",169,196,226,122,88,148,66,365
All people in the community,398,479,561,246,204,303,131,846
All people in the nation or all people in the world,149,161,151,84,63,97,57,260
Don’t know,27,27,31,19,12,23,14,96
Don’t want to answer,6,5,8,8,4,8,3,56
