messageconcern,None of the above,"Yes, offline","Yes, online",Yes both online as well as offline,Don’t want to answer
Only yourself or your family,697,27,112,63,51
"Only other people, but not yourself or your family",112,9,36,31,9
"Yourself or your family, as well as others like you",837,81,283,198,51
All people in the community,1630,184,574,857,113
All people in the nation or all people in the world,450,54,221,285,59
Don’t know,195,8,22,24,22
Don’t want to answer,61,3,10,5,30
