messageconcern,Never made a request before I used this site,Made request(s) before using offline means ,Made request(s) before using the Internet ,Made request(s) before using both online and offline means,Don’t want to answer
Only yourself or your family,763.0,50.0,97.0,30.0,10.0
"Only other people, but not yourself or your family",133.0,16.0,32.0,16.0,
"Yourself or your family, as well as others like you",1086.0,81.0,200.0,73.0,10.0
All people in the community,2238.0,228.0,656.0,212.0,24.0
All people in the nation or all people in the world,679.0,76.0,214.0,94.0,6.0
Don’t know,203.0,4.0,47.0,11.0,6.0
Don’t want to answer,66.0,4.0,16.0,6.0,17.0
