authority_type,No,Yes,Don’t want to answer
Central Government,265,1071,102
Local and regional,497,2384,133
Education,132,442,57
Environment,18,88,10
Health,98,402,44
Media and Culture,17,63,7
Military and Security Services,68,225,28
Emergency services and the courts,53,235,17
Transport,82,310,26
Don’t want to answer,14,16,19
Other,131,393,54
