previous_foi_use,strongly disagree,disagree,agree,strongly agree,don't want to answer
Never made a request before I used this site,275,305,2384,2138,107
Made request(s) before using offline means ,19,24,208,206,9
Made request(s) before using the Internet ,62,88,595,508,24
Made request(s) before using both online and offline means,17,24,209,191,9
Don’t want to answer,11,9,27,17,12
