messageconcern,None of the above,A community group ,A political group ,Both community as well as political group,Don’t want to answer
Only yourself or your family,709,138,36,24,43
"Only other people, but not yourself or your family",102,52,16,22,5
"Yourself or your family, as well as others like you",863,361,95,88,43
All people in the community,1544,1081,246,384,103
All people in the nation or all people in the world,531,242,109,137,50
Don’t know,198,40,8,7,18
Don’t want to answer,65,11,2,3,28
