previous_foi_use,Ethnic minority (excluding white minorities),White ethnicities
Never made a request before I used this site,1262,3947
Made request(s) before using offline means ,123,343
Made request(s) before using the Internet ,270,1007
Made request(s) before using both online and offline means,103,347
Don’t want to answer,47,29
