messageconcern,strongly disagree,disagree,agree,strongly agree,don't want to answer
Only yourself or your family,75,67,448,330,30
"Only other people, but not yourself or your family",11,13,96,72,5
"Yourself or your family, as well as others like you",63,82,678,596,31
All people in the community,154,190,1499,1454,61
All people in the nation or all people in the world,62,62,473,455,17
Don’t know,20,24,138,82,7
Don’t want to answer,14,6,52,29,8
