previous_foi_use,No,Yes,Don’t want to answer
Never made a request before I used this site,1147,3819,243
Made request(s) before using offline means ,61,390,15
Made request(s) before using the Internet ,219,1005,53
Made request(s) before using both online and offline means,66,365,19
Don’t want to answer,15,40,21
