messageconcern,No,Yes,Don’t want to answer
Only yourself or your family,254,628,68
"Only other people, but not yourself or your family",48,137,12
"Yourself or your family, as well as others like you",269,1079,102
All people in the community,493,2700,165
All people in the nation or all people in the world,184,804,81
Don’t know,79,156,36
Don’t want to answer,30,52,27
