previous_foi_use,No,Yes,Don’t want to answer,Did not receive a response
Never made a request before I used this site,1851,1025,208,2125
Made request(s) before using offline means ,164,93,20,189
Made request(s) before using the Internet ,410,279,46,542
Made request(s) before using both online and offline means,147,107,12,184
Don’t want to answer,24,12,22,18
