authority_type,British,Bangladeshi,Other Asian,Caribbean,African,Other Black,Chinese,Any other ethnic group,Irish,English,Welsh,Scottish,Other white,White and Black Caribbean,White and Black African,White and Asian,Other Mixed,Indian,Pakistani,Don’t want to answer,Don’t know
Central Government,561.0,5.0,23.0,10.0,37.0,4.0,9.0,19.0,25.0,227.0,33.0,58.0,100.0,1.0,9.0,8.0,11.0,64.0,25.0,113.0,6.0
Local and regional,1399.0,4.0,7.0,13.0,15.0,,4.0,14.0,49.0,625.0,88.0,143.0,132.0,10.0,8.0,12.0,19.0,35.0,14.0,235.0,3.0
Education,230.0,7.0,24.0,6.0,8.0,1.0,15.0,12.0,19.0,71.0,7.0,19.0,53.0,1.0,2.0,9.0,6.0,45.0,21.0,39.0,3.0
Environment,50.0,,,,,,1.0,1.0,2.0,21.0,7.0,10.0,9.0,,,,,,1.0,6.0,
Health,233.0,3.0,2.0,5.0,2.0,2.0,2.0,6.0,20.0,94.0,19.0,28.0,33.0,,,1.0,,13.0,3.0,48.0,2.0
Media and Culture,41.0,,3.0,,,,,,2.0,19.0,3.0,2.0,4.0,,,,,,,10.0,1.0
Military and Security Services,123.0,,2.0,,1.0,1.0,,,3.0,96.0,4.0,12.0,26.0,2.0,1.0,,1.0,,2.0,22.0,2.0
Emergency services and the courts,142.0,,,1.0,,,2.0,,8.0,65.0,15.0,16.0,6.0,1.0,,2.0,5.0,2.0,2.0,20.0,
Transport,175.0,3.0,4.0,4.0,9.0,,5.0,4.0,10.0,81.0,6.0,12.0,38.0,,,1.0,1.0,8.0,1.0,38.0,2.0
Don’t want to answer,13.0,,,,,,1.0,1.0,,4.0,2.0,2.0,1.0,,,,,,3.0,16.0,
Other,191.0,6.0,6.0,4.0,18.0,,4.0,8.0,9.0,98.0,17.0,23.0,48.0,4.0,6.0,4.0,4.0,28.0,14.0,48.0,6.0
