previous_foi_use,No,Yes,Don’t want to answer
Never made a request before I used this site,2782,2296,131
Made request(s) before using offline means ,263,183,20
Made request(s) before using the Internet ,701,533,43
Made request(s) before using both online and offline means,260,183,7
Don’t want to answer,31,27,18
