year,strongly disagree,disagree,agree,strongly agree,don't want to answer
2012,51,46,499,541,15
2013,35,54,463,435,5
2014,22,30,303,355,9
2015,47,51,393,367,11
2016,60,39,388,386,14
2017,47,41,377,399,16
2018,50,51,350,347,13
2019,52,38,257,295,15
2020,50,38,267,281,16
