previous_foi_use,0 - not at all likely,1,2,3,4,5 - neutral,6,7,8,9,10 - extremely likely,Don’t want to answer
Never made a request before I used this site,92.0,18.0,26.0,29.0,24.0,531.0,127.0,369.0,620.0,391.0,2803.0,9.0
Made request(s) before using offline means ,12.0,,4.0,3.0,2.0,34.0,9.0,12.0,42.0,34.0,296.0,3.0
Made request(s) before using the Internet ,30.0,3.0,7.0,4.0,8.0,98.0,29.0,89.0,153.0,80.0,741.0,2.0
Made request(s) before using both online and offline means,14.0,,3.0,2.0,1.0,40.0,3.0,32.0,37.0,26.0,277.0,1.0
Don’t want to answer,11.0,1.0,2.0,1.0,2.0,11.0,3.0,4.0,8.0,4.0,22.0,6.0
