authority_type,Less than 18 years old,18-24 years old,25-34 years old,35-44 years old,45-54 years old,55-64 years old,65-74 years old,75 years and older,Don’t want to answer
Central Government,6.0,48.0,240.0,254.0,277.0,301.0,170.0,42.0,61.0
Local and regional,9.0,78.0,298.0,466.0,688.0,663.0,497.0,112.0,112.0
Education,86.0,104.0,84.0,94.0,116.0,72.0,35.0,5.0,19.0
Environment,1.0,8.0,9.0,18.0,14.0,20.0,28.0,8.0,5.0
Health,1.0,19.0,64.0,86.0,117.0,130.0,67.0,17.0,23.0
Media and Culture,4.0,5.0,11.0,10.0,18.0,15.0,18.0,3.0,3.0
Military and Security Services,9.0,18.0,18.0,42.0,80.0,66.0,60.0,12.0,9.0
Emergency services and the courts,11.0,20.0,41.0,46.0,71.0,53.0,35.0,3.0,19.0
Transport,16.0,33.0,49.0,58.0,79.0,82.0,63.0,17.0,14.0
Don’t want to answer,,4.0,6.0,8.0,5.0,7.0,3.0,2.0,12.0
Other,8.0,10.0,97.0,84.0,115.0,106.0,78.0,24.0,37.0
