messageconcern,strongly disagree,disagree,agree,strongly agree,don't want to answer
Only yourself or your family,60,71,444,357,18
"Only other people, but not yourself or your family",10,13,89,81,4
"Yourself or your family, as well as others like you",50,63,653,665,19
All people in the community,128,157,1438,1595,40
All people in the nation or all people in the world,56,53,428,516,16
Don’t know,17,18,134,97,5
Don’t want to answer,14,4,49,32,10
