year,No,Yes,Don’t want to answer,Did not receive a response
2012,353,297,37,465
2013,293,234,27,438
2014,235,188,20,276
2015,270,228,29,342
2016,288,252,26,321
2017,260,230,33,357
2018,232,223,25,331
2019,197,169,19,272
2020,194,158,13,287
