year,From another mySociety site,"From media such as newspapers, etc",From a search engine ,Recommendation by friends or colleagues,From a campaigning website,Other,Don’t want to answer,Can't remember
2012,52,40,493,261,64,51,6,173
2013,46,26,429,252,65,52,3,108
2014,21,19,319,191,30,48,5,80
2015,33,18,408,206,46,36,3,113
2016,18,20,424,219,48,40,4,112
2017,13,9,445,188,33,55,6,125
2018,10,17,420,174,20,49,5,113
2019,9,9,322,155,35,37,5,82
2020,12,20,299,144,30,39,4,99
