previous_foi_use,No,Yes,Don’t want to answer
Never made a request before I used this site,4019,770,420
Made request(s) before using offline means ,301,108,57
Made request(s) before using the Internet ,927,246,104
Made request(s) before using both online and offline means,278,124,48
Don’t want to answer,33,10,33
