messageconcern,strongly disagree,disagree,agree,strongly agree,don't want to answer
Only yourself or your family,85,39,391,365,70
"Only other people, but not yourself or your family",17,7,66,98,9
"Yourself or your family, as well as others like you",76,30,524,754,66
All people in the community,191,54,1197,1757,159
All people in the nation or all people in the world,74,21,334,587,53
Don’t know,20,6,103,116,26
Don’t want to answer,13,8,47,26,15
