previous_foi_use,Primary school or equivalent,Secondary school or equivalent,Special school or equivalent,Sixth form college or equivalent,Technical college or equivalent,Further Education College,Adult Community College,University or equivalent,Other,Don’t want to answer
Never made a request before I used this site,15.0,676.0,6.0,269.0,378.0,427.0,90.0,2833.0,138.0,253.0
Made request(s) before using offline means ,2.0,56.0,,21.0,32.0,49.0,5.0,249.0,15.0,28.0
Made request(s) before using the Internet ,1.0,146.0,2.0,43.0,69.0,91.0,17.0,802.0,18.0,55.0
Made request(s) before using both online and offline means,1.0,44.0,,12.0,26.0,38.0,12.0,273.0,13.0,25.0
Don’t want to answer,,2.0,,3.0,4.0,4.0,1.0,27.0,2.0,26.0
