previous_foi_use,strongly disagree,disagree,agree,strongly agree,don't want to answer
Never made a request before I used this site,222,268,2284,2362,73
Made request(s) before using offline means ,16,23,197,224,6
Made request(s) before using the Internet ,52,69,564,577,15
Made request(s) before using both online and offline means,17,18,197,210,8
Don’t want to answer,9,8,28,19,12
