messageconcern,No,Yes,Don’t want to answer
Only yourself or your family,286,604,60
"Only other people, but not yourself or your family",42,144,11
"Yourself or your family, as well as others like you",272,1120,58
All people in the community,645,2589,124
All people in the nation or all people in the world,175,846,48
Don’t know,52,203,16
Don’t want to answer,26,54,29
