previous_foi_use,2012,2013,2014,2015,2016,2017,2018,2019,2020
Never made a request before I used this site,730,675,496,582,631,621,571,456,447
Made request(s) before using offline means ,100,51,44,58,51,52,40,33,37
Made request(s) before using the Internet ,214,182,122,144,120,130,132,121,112
Made request(s) before using both online and offline means,79,60,42,55,53,47,47,31,36
Don’t want to answer,13,6,6,9,8,13,6,6,9
