messageconcern,2012,2013,2014,2015,2016,2017,2018,2019,2020
Only yourself or your family,81,98,74,119,136,139,117,92,94
"Only other people, but not yourself or your family",29,28,13,21,22,25,27,15,17
"Yourself or your family, as well as others like you",208,210,130,179,174,170,137,121,121
All people in the community,572,456,350,383,377,367,344,266,243
All people in the nation or all people in the world,182,134,99,102,98,108,124,105,117
Don’t know,41,25,21,32,37,36,28,26,25
Don’t want to answer,13,15,11,10,13,12,11,13,11
