authority_type,Male,Female,Don’t want to answer
Central Government,994,376,68
Local and regional,1980,905,129
Education,352,251,28
Environment,82,28,6
Health,313,201,30
Media and Culture,68,13,6
Military and Security Services,270,41,10
Emergency services and the courts,227,56,22
Transport,341,61,16
Don’t want to answer,21,13,15
Other,348,188,42
