authority_type,strongly disagree,disagree,agree,strongly agree,don't want to answer
Central Government,116,265,659,227,171
Local and regional,220,516,1513,407,358
Education,41,134,304,106,46
Environment,6,23,55,14,18
Health,39,113,257,75,60
Media and Culture,5,19,40,15,8
Military and Security Services,17,58,159,40,47
Emergency services and the courts,25,53,150,49,28
Transport,36,83,188,65,46
Don’t want to answer,4,8,15,5,17
Other,64,116,234,81,83
