year,Less than 18 years old,18-24 years old,25-34 years old,35-44 years old,45-54 years old,55-64 years old,65-74 years old,75 years and older,Don’t want to answer
2012,3,49,159,218,283,223,112,27,39
2013,13,53,131,164,200,187,120,30,47
2014,15,33,85,125,174,138,95,11,22
2015,26,47,104,129,177,176,121,21,31
2016,21,27,106,128,183,195,122,27,45
2017,19,29,114,120,157,187,142,32,46
2018,17,34,101,129,149,158,132,38,29
2019,20,31,67,69,145,141,99,32,33
2020,18,44,54,92,117,120,121,32,27
