year,Never made a request before I used this site,Made request(s) before using offline means ,Made request(s) before using the Internet ,Made request(s) before using both online and offline means,Don’t want to answer
2012,746,100,214,79,13
2013,693,51,182,60,6
2014,505,44,122,42,6
2015,603,58,144,55,9
2016,655,51,120,53,8
2017,638,52,130,47,13
2018,586,40,132,47,6
2019,466,33,121,31,6
2020,458,37,112,36,9
