messageconcern,No,Yes,Don’t want to answer
Only yourself or your family,719,150,81
"Only other people, but not yourself or your family",164,23,10
"Yourself or your family, as well as others like you",1089,261,100
All people in the community,2472,574,312
All people in the nation or all people in the world,774,204,91
Don’t know,222,22,27
Don’t want to answer,67,11,31
