messageconcern,No,Yes,Don’t want to answer,Did not receive a response
Only yourself or your family,294,314,17,325
"Only other people, but not yourself or your family",41,61,9,86
"Yourself or your family, as well as others like you",424,381,46,599
All people in the community,1034,800,93,1431
All people in the nation or all people in the world,320,237,39,473
Don’t know,54,116,6,95
Don’t want to answer,33,31,14,31
