messageconcern,From another mySociety site,"From media such as newspapers, etc",From a search engine ,Recommendation by friends or colleagues,From a campaigning website,Other,Don’t want to answer,Can't remember
Only yourself or your family,27.0,27.0,555.0,157.0,22.0,61.0,3.0,97.0
"Only other people, but not yourself or your family",1.0,3.0,97.0,58.0,2.0,7.0,2.0,26.0
"Yourself or your family, as well as others like you",37.0,21.0,778.0,308.0,69.0,73.0,4.0,158.0
All people in the community,95.0,84.0,1389.0,928.0,191.0,178.0,17.0,460.0
All people in the nation or all people in the world,40.0,31.0,473.0,207.0,71.0,61.0,4.0,180.0
Don’t know,7.0,6.0,141.0,64.0,8.0,12.0,1.0,32.0
Don’t want to answer,1.0,2.0,43.0,29.0,2.0,7.0,8.0,14.0
